event_id,road_occupancy_pct,pedestrian_count,vehicle_count,avg_vehicle_speed_kmph,signal_wait_time_s,time_of_day_hr,noise_level_db,ambient_temperature_c,camera_exposure_score,humidity_pct,label
EVT_00283,26.1,5,17,31.7,19,18.07,64.6,29.4,28.9,66.4,Free_Flow
EVT_00284,53.9,9,33,20.1,108,17.97,56.4,30.7,44.2,58.4,Heavy_Traffic
EVT_00285,51.6,4,0,3.0,56,14.49,49.8,29.3,67.8,54.5,Incident
EVT_00286,28.4,12,17,28.5,6,9.48,61.7,28.7,82.5,70.6,Free_Flow
EVT_00287,13.4,2,8,24.4,1,22.95,48.7,26.6,31.9,70.3,Low_Activity
EVT_00288,56.0,9,21,8.0,64,18.87,50.6,30.4,21.5,77.6,Heavy_Traffic
EVT_00289,17.5,3,8,71.5,18,17.79,68.0,28.8,33.5,75.1,Free_Flow
EVT_00290,36.4,1,14,27.4,16,4.85,53.7,17.2,27.9,68.0,Incident
EVT_00291,32.9,7,27,29.5,82,16.25,50.9,35.5,54.5,59.0,Incident
EVT_00292,84.1,15,41,22.5,58,9.79,60.4,27.0,72.0,58.3,Heavy_Traffic
EVT_00293,23.3,3,8,26.4,16,13.31,62.6,27.2,88.9,64.4,Heavy_Traffic
EVT_00294,0.0,2,6,31.6,7,14.79,47.2,31.9,96.4,64.6,Free_Flow
EVT_00295,42.3,11,54,13.2,21,16.22,65.0,29.8,41.7,70.6,Heavy_Traffic
EVT_00296,15.7,1,4,46.1,6,23.18,45.2,22.2,23.9,66.1,Low_Activity
EVT_00297,69.6,9,15,19.7,51,13.2,56.1,34.4,75.5,77.0,Pedestrian_Event
EVT_00298,49.2,31,12,38.7,73,18.17,60.8,24.7,26.5,70.8,Pedestrian_Event
EVT_00299,9.5,1,13,54.3,30,0.72,48.8,23.3,13.0,66.4,Low_Activity
EVT_00300,30.3,6,34,34.4,20,18.53,63.4,30.9,40.1,56.5,Low_Activity
EVT_00301,85.4,8,33,7.8,80,17.61,59.8,26.5,48.0,51.7,Pedestrian_Event
EVT_00302,16.6,1,4,66.9,12,23.27,60.2,22.6,11.9,77.7,Low_Activity
EVT_00303,71.6,31,9,33.8,41,13.71,45.0,29.8,70.5,57.0,Pedestrian_Event
EVT_00304,61.8,9,6,19.6,33,20.07,39.4,27.5,1.3,65.8,Incident
EVT_00305,18.4,5,16,46.9,13,18.18,74.5,29.5,38.1,87.5,Pedestrian_Event
EVT_00306,33.5,2,19,48.4,24,21.32,50.6,26.1,18.2,61.3,Free_Flow
EVT_00307,44.6,33,22,25.1,18,8.47,62.2,25.7,89.8,79.5,Pedestrian_Event
EVT_00308,65.0,10,21,14.5,15,0.46,48.6,23.2,0.0,68.9,Incident
EVT_00309,16.1,3,11,53.0,36,20.43,44.2,30.2,6.5,67.6,Free_Flow
EVT_00310,7.6,1,8,16.3,78,16.42,53.7,27.1,64.6,71.9,Pedestrian_Event
EVT_00311,15.6,0,11,68.4,5,12.2,53.4,30.8,74.6,67.1,Low_Activity
EVT_00312,80.6,17,36,4.2,66,8.69,57.4,27.4,63.3,61.8,Heavy_Traffic
EVT_00313,64.7,8,23,25.3,89,18.08,50.5,31.5,36.8,59.7,Heavy_Traffic
EVT_00314,48.9,25,9,26.1,32,11.12,58.8,29.5,82.1,52.9,Pedestrian_Event
EVT_00315,40.0,1,24,13.0,43,6.16,60.1,22.4,21.2,66.7,Incident
EVT_00316,40.9,10,21,13.3,49,17.18,52.6,32.5,53.5,63.7,Free_Flow
EVT_00317,30.2,17,31,42.4,86,19.29,67.9,29.2,30.4,58.1,Pedestrian_Event
EVT_00318,42.7,21,8,13.3,23,16.91,51.8,29.8,37.9,67.3,Pedestrian_Event
EVT_00319,29.6,7,9,30.9,19,18.44,51.6,31.3,24.9,61.3,Free_Flow
EVT_00320,18.1,0,12,29.5,11,22.86,58.7,27.0,22.5,61.5,Low_Activity
EVT_00321,34.6,19,20,30.6,40,15.46,59.6,25.9,67.0,68.1,Heavy_Traffic
EVT_00322,37.5,6,0,41.4,18,12.51,52.8,29.3,84.3,50.3,Free_Flow
EVT_00323,46.6,4,32,7.9,82,5.87,53.3,20.4,10.5,60.9,Heavy_Traffic
EVT_00324,76.2,14,31,24.5,72,20.15,48.6,23.9,35.5,52.8,Heavy_Traffic
EVT_00325,26.7,4,17,54.9,25,11.94,64.2,25.9,77.0,84.2,Free_Flow
EVT_00326,3.1,18,26,27.6,51,10.5,65.6,23.4,59.7,65.7,Free_Flow
EVT_00327,41.2,8,14,52.4,26,18.05,64.3,28.3,19.8,60.4,Free_Flow
EVT_00328,21.9,1,15,67.0,0,4.62,53.2,21.6,7.4,70.1,Low_Activity
EVT_00329,33.4,3,32,15.0,63,0.73,50.9,19.5,27.9,65.2,Incident
EVT_00330,38.1,8,5,27.7,35,13.31,54.3,32.3,68.1,63.9,Free_Flow
EVT_00331,42.1,2,15,36.4,35,17.87,60.9,34.6,8.4,48.3,Free_Flow
EVT_00332,10.6,0,4,61.6,12,0.56,55.0,20.6,7.6,68.6,Low_Activity
EVT_00333,6.8,1,3,65.2,21,15.95,51.2,36.1,70.3,58.4,Low_Activity
EVT_00334,41.6,8,28,0.0,71,8.63,73.3,24.3,49.5,100.0,Heavy_Traffic
EVT_00335,45.2,8,43,31.6,153,8.55,59.4,20.9,50.1,64.3,Heavy_Traffic
EVT_00336,8.6,0,7,37.4,8,3.94,48.3,27.0,23.8,58.4,Low_Activity
EVT_00337,27.7,4,13,29.0,23,15.54,54.7,33.2,66.6,48.6,Free_Flow
EVT_00338,46.6,3,20,17.0,29,14.31,48.5,32.8,74.7,55.4,Pedestrian_Event
EVT_00339,48.3,30,10,5.6,6,6.77,54.4,25.0,27.7,63.3,Pedestrian_Event
EVT_00340,55.4,5,28,26.9,91,18.85,54.4,27.7,16.6,72.5,Heavy_Traffic
EVT_00341,0.9,0,7,41.5,1,1.1,44.8,27.3,16.9,60.5,Low_Activity
EVT_00342,75.2,3,50,3.9,62,3.31,47.6,20.5,27.9,71.8,Incident
EVT_00343,71.4,10,16,56.3,3,15.86,54.5,22.7,48.9,80.6,Free_Flow
EVT_00344,23.3,2,2,17.9,13,12.14,52.6,23.0,69.7,63.1,Low_Activity
EVT_00345,29.1,1,17,41.2,18,22.26,54.3,25.1,28.8,57.7,Free_Flow
EVT_00346,8.7,0,5,32.8,15,12.96,47.0,29.1,72.7,60.1,Low_Activity
EVT_00347,35.8,12,14,30.3,32,20.0,47.0,34.2,29.6,61.9,Free_Flow
EVT_00348,64.5,5,16,40.6,21,17.77,59.3,28.3,22.9,66.8,Free_Flow
EVT_00349,28.5,3,33,32.7,10,11.68,59.3,31.9,100.0,54.4,Free_Flow
EVT_00350,54.6,7,24,23.1,74,18.82,52.9,26.2,27.7,61.1,Heavy_Traffic
EVT_00351,56.7,3,45,19.4,12,9.7,54.2,29.2,73.3,52.5,Incident
EVT_00352,32.6,4,12,43.5,22,6.2,52.6,28.6,18.4,71.0,Free_Flow
EVT_00353,34.9,2,17,56.2,0,9.64,57.5,27.3,64.6,58.7,Free_Flow
EVT_00354,17.1,2,4,42.6,13,7.4,52.8,25.6,28.4,84.0,Low_Activity
EVT_00355,0.0,4,16,38.5,0,7.19,60.4,21.8,22.1,83.0,Pedestrian_Event
EVT_00356,67.5,19,18,21.2,48,17.82,47.5,29.1,46.0,74.5,Heavy_Traffic
EVT_00357,75.1,12,34,29.3,70,17.06,60.7,30.7,47.0,66.1,Free_Flow
EVT_00358,73.9,5,45,4.2,0,7.76,71.5,21.0,50.7,93.2,Heavy_Traffic
EVT_00359,12.2,1,6,44.2,17,23.48,56.6,25.8,46.5,72.4,Free_Flow
EVT_00360,61.8,9,32,15.7,2,12.21,59.9,30.3,73.0,72.1,Incident
EVT_00361,52.7,2,26,5.6,76,3.22,45.7,14.1,2.0,76.3,Incident
EVT_00362,56.3,1,11,63.1,33,23.24,40.8,16.6,33.0,76.9,Free_Flow
EVT_00363,56.6,6,33,19.7,11,8.9,58.0,25.2,64.3,69.1,Heavy_Traffic
EVT_00364,22.4,7,36,16.1,40,2.65,59.8,17.4,12.8,72.4,Incident
EVT_00365,51.7,2,23,6.3,0,4.06,58.4,13.1,24.5,89.3,Incident
EVT_00366,56.7,6,58,19.4,43,6.17,73.8,22.1,23.6,76.7,Heavy_Traffic
EVT_00367,47.6,3,40,5.5,24,16.35,60.5,29.4,76.6,74.9,Incident
EVT_00368,62.2,7,18,22.7,24,17.84,55.0,29.7,32.3,43.6,Pedestrian_Event
EVT_00369,37.1,14,2,26.1,63,4.32,48.0,19.7,33.9,76.7,Pedestrian_Event
EVT_00370,46.3,12,9,29.9,22,11.63,50.4,30.1,65.2,68.1,Heavy_Traffic
EVT_00371,55.8,10,43,11.0,41,9.5,62.4,28.8,92.7,65.9,Heavy_Traffic
EVT_00372,81.3,7,31,4.4,38,10.13,52.0,28.9,65.8,63.2,Heavy_Traffic
EVT_00373,16.5,11,22,29.9,0,15.68,63.4,32.7,46.2,59.8,Pedestrian_Event
EVT_00374,29.4,3,10,29.9,16,15.74,48.9,28.3,60.3,52.5,Free_Flow
EVT_00375,53.4,11,33,11.7,44,14.72,63.7,36.2,71.1,62.0,Heavy_Traffic
EVT_00376,55.5,9,36,23.1,56,13.57,66.1,32.1,88.9,59.3,Incident
EVT_00377,34.7,14,20,25.0,64,6.85,54.6,21.1,23.2,75.0,Pedestrian_Event
EVT_00378,72.5,8,65,14.2,108,19.45,61.9,27.7,6.5,59.8,Heavy_Traffic
EVT_00379,30.4,3,17,27.9,24,12.33,65.2,27.8,84.9,100.0,Free_Flow
EVT_00380,30.0,15,0,43.9,28,19.72,46.9,25.7,14.1,65.6,Free_Flow
EVT_00381,17.3,3,15,42.4,7,18.49,47.7,31.0,20.1,59.5,Low_Activity
EVT_00382,18.7,0,7,42.2,18,23.68,53.4,27.9,18.0,51.3,Low_Activity
EVT_00383,39.7,30,19,1.0,74,10.44,47.6,25.1,63.2,64.3,Pedestrian_Event
EVT_00384,27.3,29,28,26.6,15,18.16,61.3,34.2,27.1,92.5,Pedestrian_Event
EVT_00385,46.3,22,16,31.1,58,17.32,48.5,29.6,39.2,48.7,Pedestrian_Event
EVT_00386,61.3,3,17,3.6,88,17.6,46.4,27.6,46.7,68.8,Heavy_Traffic
EVT_00387,25.2,6,12,33.4,18,12.92,56.3,34.0,72.3,58.7,Free_Flow
EVT_00388,77.4,24,32,31.1,56,9.65,58.8,26.1,76.7,66.8,Heavy_Traffic
EVT_00389,18.9,3,16,32.7,19,23.25,57.4,27.7,25.5,70.1,Free_Flow
EVT_00390,37.3,2,31,19.4,62,4.29,49.3,16.6,15.5,88.1,Incident
EVT_00391,29.6,1,19,28.1,4,23.3,51.7,22.4,16.4,85.4,Free_Flow
EVT_00392,49.0,5,33,31.4,94,19.61,58.2,29.9,13.9,66.0,Heavy_Traffic
EVT_00393,22.5,3,27,49.3,35,18.41,63.7,27.2,38.0,69.6,Free_Flow
EVT_00394,29.6,8,31,21.8,46,7.2,63.2,25.1,41.3,52.1,Heavy_Traffic
EVT_00395,56.9,5,50,18.2,98,20.13,76.0,26.6,5.9,79.3,Heavy_Traffic
EVT_00396,39.8,27,13,27.5,8,14.75,64.9,27.4,64.4,66.8,Free_Flow
EVT_00397,11.0,1,4,47.8,11,23.24,61.0,22.5,5.6,64.2,Low_Activity
EVT_00398,12.9,2,8,50.1,17,5.74,69.9,18.6,18.1,100.0,Low_Activity
EVT_00399,67.3,2,55,14.9,32,6.38,62.6,20.8,27.4,62.5,Heavy_Traffic
EVT_00400,52.7,6,58,9.1,44,12.91,60.5,35.3,76.0,52.5,Heavy_Traffic
EVT_00401,25.3,6,20,36.2,38,17.55,67.8,30.1,26.2,57.8,Free_Flow
EVT_00402,56.6,4,12,57.1,4,11.72,59.6,23.3,75.9,62.6,Free_Flow
EVT_00403,9.6,1,15,38.1,20,11.05,65.4,28.8,73.0,69.7,Free_Flow
EVT_00404,63.6,11,47,18.1,51,17.26,71.8,32.7,39.9,62.9,Heavy_Traffic
EVT_00405,37.1,2,14,38.4,26,17.22,59.0,30.7,23.6,60.1,Free_Flow
EVT_00406,46.2,19,6,15.2,88,10.57,51.1,20.4,84.2,75.0,Heavy_Traffic
EVT_00407,43.8,4,42,31.6,78,10.94,59.6,29.6,81.5,65.6,Incident
EVT_00408,63.5,4,33,17.7,83,9.77,65.3,25.3,88.2,74.0,Heavy_Traffic
EVT_00409,79.9,4,23,16.9,67,17.67,60.5,28.0,53.2,95.3,Heavy_Traffic
EVT_00410,36.1,5,19,34.5,41,11.5,39.8,37.6,84.8,59.1,Free_Flow
EVT_00411,25.3,2,11,57.4,14,17.89,56.2,33.9,52.5,74.8,Free_Flow
EVT_00412,29.3,13,30,25.1,28,8.75,62.1,20.3,65.2,70.3,Pedestrian_Event
EVT_00413,59.9,9,17,5.2,46,7.4,44.5,24.1,41.4,51.9,Heavy_Traffic
EVT_00414,7.5,2,9,62.4,14,18.84,62.0,28.2,12.7,59.7,Low_Activity
EVT_00415,16.6,14,0,37.4,31,17.77,50.6,32.3,34.2,78.1,Free_Flow
EVT_00416,58.1,8,7,22.4,14,17.93,40.7,30.5,20.2,58.0,Free_Flow
EVT_00417,8.0,4,3,64.4,20,0.64,48.3,26.4,28.7,76.0,Low_Activity
EVT_00418,67.6,7,36,8.1,18,7.95,64.7,25.3,44.7,61.3,Pedestrian_Event
EVT_00419,47.4,9,9,36.4,29,21.89,47.9,19.4,46.1,65.0,Pedestrian_Event
EVT_00420,42.1,2,23,25.8,3,21.67,55.3,23.4,17.7,75.1,Free_Flow
EVT_00421,67.4,9,41,8.2,1,19.15,63.8,33.0,25.5,58.4,Heavy_Traffic
EVT_00422,42.3,25,12,28.2,32,9.57,53.8,23.1,69.1,76.1,Heavy_Traffic
EVT_00423,16.7,6,13,33.8,3,10.48,57.1,24.6,71.2,74.0,Free_Flow
EVT_00424,60.5,3,34,22.7,0,4.95,52.3,17.8,17.3,76.3,Incident
EVT_00425,32.2,4,10,0.0,125,4.34,50.3,21.4,7.8,62.8,Incident
EVT_00426,65.7,12,34,30.2,44,17.65,61.4,34.7,41.2,53.2,Heavy_Traffic
EVT_00427,74.6,6,38,24.2,90,4.52,67.8,21.9,25.9,77.5,Incident
EVT_00428,57.2,7,30,16.0,80,16.48,63.7,26.3,51.2,95.6,Free_Flow
EVT_00429,39.0,10,31,52.7,5,9.65,66.2,26.7,70.8,64.4,Pedestrian_Event
EVT_00430,42.5,31,11,29.9,48,15.48,56.3,29.3,66.2,70.1,Pedestrian_Event
EVT_00431,45.1,15,28,14.6,26,17.91,54.1,27.8,38.5,58.4,Heavy_Traffic
EVT_00432,10.1,2,3,40.5,10,11.47,52.6,28.7,71.7,71.2,Low_Activity
EVT_00433,38.1,3,19,64.7,11,9.68,58.6,27.7,64.7,60.1,Free_Flow
EVT_00434,73.2,6,61,16.0,33,17.44,58.2,27.5,27.1,78.4,Heavy_Traffic
EVT_00435,40.9,2,19,61.3,1,12.24,59.2,26.3,83.5,62.5,Free_Flow
EVT_00436,27.2,15,13,20.0,14,6.52,54.8,20.0,32.2,64.7,Pedestrian_Event
EVT_00437,44.2,17,4,33.1,49,17.41,57.3,32.2,36.0,51.7,Pedestrian_Event
EVT_00438,32.4,0,5,46.1,15,22.51,56.8,25.3,17.9,61.8,Low_Activity
EVT_00439,50.2,3,0,21.9,71,2.48,53.1,19.1,4.1,57.0,Incident
EVT_00440,55.7,3,26,17.0,42,20.89,55.7,31.8,29.6,75.7,Incident
EVT_00441,44.6,7,34,58.1,18,16.63,63.3,34.8,64.5,52.0,Free_Flow
EVT_00442,30.1,2,15,26.5,16,8.22,49.1,24.9,46.8,63.4,Free_Flow
EVT_00443,58.2,18,27,13.0,102,8.14,52.4,26.8,61.6,59.5,Heavy_Traffic
EVT_00444,10.8,2,11,33.7,30,17.13,52.9,29.3,49.5,58.7,Low_Activity
EVT_00445,41.5,8,19,42.6,13,18.61,56.3,30.2,0.0,59.3,Free_Flow
EVT_00446,60.9,9,40,22.7,94,13.18,67.1,27.4,84.0,82.8,Heavy_Traffic
EVT_00447,64.0,0,22,54.7,43,9.59,57.6,25.3,76.6,61.6,Pedestrian_Event
EVT_00448,77.4,16,29,20.7,26,7.78,59.5,24.1,46.2,65.1,Heavy_Traffic
EVT_00449,48.8,5,35,20.2,47,7.49,60.1,16.5,55.6,78.9,Heavy_Traffic
EVT_00450,44.2,8,26,12.1,39,21.96,58.2,16.5,17.3,98.3,Incident
EVT_00451,78.9,12,26,16.3,8,7.82,59.9,22.9,58.7,83.3,Heavy_Traffic
EVT_00452,59.7,2,33,21.9,109,16.34,57.2,35.5,54.1,56.5,Heavy_Traffic
EVT_00453,17.7,0,17,37.8,23,9.49,55.5,19.4,65.2,70.9,Free_Flow
EVT_00454,32.7,33,22,31.5,42,9.84,55.9,31.0,82.9,63.9,Pedestrian_Event
EVT_00455,35.8,26,25,46.8,42,18.09,57.8,26.9,29.9,67.4,Pedestrian_Event
EVT_00456,62.8,9,49,32.3,92,19.95,64.2,25.1,20.7,70.1,Heavy_Traffic
EVT_00457,74.0,10,20,14.8,68,8.78,55.8,24.8,65.6,96.6,Incident
EVT_00458,38.8,5,20,25.6,38,14.02,52.7,29.1,80.2,64.7,Incident
EVT_00459,74.2,8,42,18.7,86,17.85,65.6,29.3,29.3,59.0,Heavy_Traffic
EVT_00460,27.6,4,23,35.4,37,6.74,48.9,24.9,36.6,67.5,Free_Flow
EVT_00461,40.5,23,17,40.4,0,17.16,59.8,27.0,47.6,75.7,Pedestrian_Event
EVT_00462,57.8,8,28,19.4,66,19.41,48.8,27.6,9.7,77.2,Heavy_Traffic
EVT_00463,29.8,12,38,50.1,27,15.62,67.3,32.5,61.4,53.8,Free_Flow
EVT_00464,17.7,21,16,19.8,60,7.26,64.2,23.5,37.8,81.5,Pedestrian_Event
EVT_00465,51.0,7,27,22.9,74,6.99,63.6,21.3,38.4,76.3,Pedestrian_Event
EVT_00466,25.4,1,3,1.8,7,22.53,46.2,26.6,15.8,71.3,Low_Activity
EVT_00467,53.4,14,21,3.7,114,13.62,63.2,33.8,75.4,69.5,Incident
EVT_00468,45.1,7,67,31.2,41,9.78,66.7,30.1,89.9,60.0,Heavy_Traffic
EVT_00469,0.0,1,7,42.7,9,23.91,46.7,22.0,16.8,55.8,Low_Activity
EVT_00470,98.4,2,52,15.2,38,19.52,65.2,26.5,31.3,58.4,Heavy_Traffic
EVT_00471,68.6,5,34,14.3,52,21.87,62.3,25.3,12.5,85.1,Incident
EVT_00472,16.9,1,13,23.4,46,21.49,45.3,20.2,1.1,54.1,Free_Flow
EVT_00473,49.8,1,21,5.5,44,23.08,54.8,16.8,20.5,98.0,Heavy_Traffic
EVT_00474,69.2,34,33,23.8,32,13.64,55.9,31.2,91.0,64.6,Pedestrian_Event
EVT_00475,0.3,1,2,39.6,13,3.59,46.4,23.4,16.5,56.6,Low_Activity
EVT_00476,29.6,11,8,26.8,14,15.0,47.8,30.7,75.1,52.3,Free_Flow
EVT_00477,61.1,3,37,16.1,49,9.53,56.7,18.7,91.8,66.0,Incident
EVT_00478,19.0,3,19,31.4,41,7.19,55.2,25.1,36.8,56.4,Free_Flow
EVT_00479,28.6,8,20,39.5,9,12.57,55.0,32.8,88.5,57.1,Free_Flow
EVT_00480,18.2,32,16,0.0,54,16.68,50.3,29.9,29.8,63.4,Pedestrian_Event
EVT_00481,8.6,0,1,39.3,1,4.58,46.9,18.7,23.4,63.0,Low_Activity
EVT_00482,19.4,32,21,0.0,49,14.48,49.4,27.2,70.1,73.0,Pedestrian_Event
EVT_00483,75.0,6,37,23.3,45,18.53,74.6,28.6,34.6,89.5,Heavy_Traffic
EVT_00484,4.1,1,4,28.4,20,3.07,58.4,17.7,44.9,64.6,Low_Activity
EVT_00485,10.2,3,16,52.5,24,6.56,55.1,24.0,42.6,56.5,Free_Flow
EVT_00486,75.1,3,28,10.9,101,20.74,60.8,23.7,2.3,72.2,Incident
EVT_00487,33.2,6,12,43.6,30,19.87,54.3,22.4,34.2,69.8,Free_Flow
EVT_00488,60.7,6,37,18.7,21,9.04,60.3,27.7,85.2,54.4,Heavy_Traffic
EVT_00489,31.2,7,30,35.7,24,8.86,55.9,24.7,62.6,72.2,Free_Flow
EVT_00490,17.3,1,3,47.6,13,3.22,43.4,17.9,9.4,71.2,Low_Activity
EVT_00491,39.7,3,4,34.6,35,9.84,49.7,26.2,88.7,51.3,Free_Flow
EVT_00492,62.5,7,30,23.2,32,23.62,50.6,19.5,25.8,76.3,Incident
EVT_00493,32.3,23,22,29.0,93,6.6,54.2,21.0,47.5,43.6,Pedestrian_Event
EVT_00494,41.4,4,25,48.1,19,17.12,49.0,33.6,78.8,55.2,Free_Flow
EVT_00495,49.0,2,42,17.4,57,13.31,59.5,29.9,82.5,76.9,Heavy_Traffic
EVT_00496,91.1,8,45,30.2,60,10.25,63.5,25.1,85.9,46.1,Heavy_Traffic
EVT_00497,68.5,3,16,18.8,1,16.73,59.9,34.0,64.8,61.9,Heavy_Traffic
EVT_00498,57.3,7,48,21.9,0,8.76,53.8,22.3,44.5,50.3,Heavy_Traffic
EVT_00499,30.1,12,13,22.2,43,12.93,56.8,28.3,94.9,72.4,Pedestrian_Event
EVT_00500,46.7,5,15,35.9,47,7.49,55.9,25.8,52.2,74.9,Pedestrian_Event
EVT_00501,20.7,0,4,67.3,21,3.15,53.6,20.3,17.3,69.8,Low_Activity
EVT_00502,75.3,4,29,7.0,63,2.75,54.7,20.0,12.2,80.1,Incident
EVT_00503,14.0,7,0,19.9,96,19.37,40.9,31.6,48.9,59.8,Incident
EVT_00504,65.1,6,42,19.5,115,16.76,62.3,33.7,48.3,48.4,Heavy_Traffic
EVT_00505,0.2,2,12,17.4,4,13.62,51.2,31.3,100.0,54.3,Low_Activity
EVT_00506,79.6,7,34,14.1,25,10.66,61.1,30.7,82.8,72.7,Heavy_Traffic
EVT_00507,34.6,38,21,15.9,55,8.17,48.7,22.5,58.1,59.3,Pedestrian_Event
EVT_00508,68.6,2,23,6.5,100,6.27,66.5,16.6,48.9,90.8,Incident
EVT_00509,40.2,2,16,54.5,20,5.73,60.2,13.6,22.7,90.4,Free_Flow
EVT_00510,55.2,9,25,37.7,28,11.62,67.3,26.9,86.0,58.1,Pedestrian_Event
EVT_00511,13.5,0,10,56.1,27,0.29,54.7,26.5,18.9,64.4,Low_Activity
EVT_00512,62.1,7,38,22.9,112,7.92,57.4,32.4,60.1,46.0,Pedestrian_Event
EVT_00513,42.0,13,39,9.5,41,17.9,58.3,32.9,32.5,55.3,Heavy_Traffic
EVT_00514,26.6,1,4,41.9,0,23.63,60.4,14.6,8.9,67.2,Low_Activity
EVT_00515,46.7,10,36,20.8,68,16.83,59.2,30.8,55.6,62.2,Heavy_Traffic
EVT_00516,33.6,6,15,28.3,12,12.91,46.9,30.5,72.2,60.0,Free_Flow
EVT_00517,80.3,1,36,21.8,44,18.52,67.5,32.1,17.4,56.2,Heavy_Traffic
EVT_00518,50.3,20,29,35.5,73,13.42,69.6,34.7,84.0,68.5,Pedestrian_Event
EVT_00519,83.1,8,37,16.7,74,12.65,62.8,31.9,70.3,56.8,Heavy_Traffic
EVT_00520,75.0,14,2,18.4,64,14.91,49.1,31.1,68.5,61.3,Heavy_Traffic
EVT_00521,44.3,30,11,29.5,59,18.67,50.7,28.8,30.1,71.5,Pedestrian_Event
EVT_00522,8.0,1,3,35.6,7,23.04,45.1,24.4,14.3,65.8,Low_Activity
EVT_00523,0.0,0,12,13.5,24,21.73,54.4,23.1,15.4,75.4,Low_Activity
EVT_00524,24.0,7,3,58.4,17,16.93,59.8,32.8,42.3,67.5,Free_Flow
EVT_00525,36.6,4,19,41.8,19,8.7,63.7,26.6,51.8,64.4,Free_Flow
EVT_00526,18.8,8,3,10.6,18,19.17,53.0,26.0,30.1,79.0,Free_Flow
EVT_00527,73.5,6,34,21.3,40,7.24,67.4,24.5,44.8,100.0,Heavy_Traffic
EVT_00528,12.6,3,15,36.2,23,6.61,47.3,24.5,33.3,51.0,Free_Flow
EVT_00529,24.3,2,12,38.6,2,10.81,54.6,22.4,94.6,78.8,Low_Activity
EVT_00530,20.5,2,3,51.8,16,23.55,59.8,20.0,14.3,55.9,Low_Activity
EVT_00531,41.9,14,26,12.5,54,16.28,59.1,29.8,74.5,69.2,Heavy_Traffic
EVT_00532,22.1,7,24,53.6,0,13.51,60.5,34.9,95.4,59.5,Free_Flow
EVT_00533,66.6,2,19,15.0,80,4.35,49.0,15.7,26.0,72.5,Incident
EVT_00534,15.1,19,0,55.2,19,16.45,52.5,24.1,67.3,62.6,Pedestrian_Event
EVT_00535,34.6,7,14,16.3,51,13.08,55.4,37.1,90.0,76.2,Incident
EVT_00536,45.5,11,28,0.3,15,7.24,60.4,16.4,49.9,83.5,Heavy_Traffic
EVT_00537,84.6,2,17,15.3,29,12.41,44.4,32.6,82.5,51.3,Incident
EVT_00538,25.3,1,10,24.1,24,2.29,40.6,17.5,22.9,57.3,Low_Activity
EVT_00539,23.4,7,11,37.6,22,7.8,50.6,28.2,60.9,64.7,Free_Flow
EVT_00540,74.1,16,56,9.8,63,11.72,75.9,29.8,100.0,57.0,Heavy_Traffic
EVT_00541,86.2,6,25,24.6,49,18.21,59.4,30.6,35.4,67.7,Heavy_Traffic
EVT_00542,51.4,4,19,34.5,20,14.01,54.3,31.4,80.5,77.2,Free_Flow
EVT_00543,48.4,9,41,6.7,63,17.08,61.8,32.6,36.2,61.3,Incident
EVT_00544,40.6,6,15,39.0,18,10.59,62.0,29.5,72.6,63.3,Free_Flow
EVT_00545,71.6,8,34,3.4,54,19.87,62.3,26.3,40.7,75.8,Heavy_Traffic
EVT_00546,12.0,2,3,37.6,24,23.96,51.1,22.8,15.4,62.5,Low_Activity
EVT_00547,30.0,2,11,68.1,26,19.72,63.1,35.6,37.0,50.7,Low_Activity
EVT_00548,20.3,17,24,38.8,56,15.84,53.1,34.5,53.0,53.6,Pedestrian_Event
EVT_00549,28.0,15,15,7.9,27,17.05,55.8,38.2,64.8,56.4,Pedestrian_Event
EVT_00550,45.0,18,23,20.9,86,7.68,52.4,25.5,62.6,72.9,Heavy_Traffic
EVT_00551,15.0,8,13,43.9,13,6.3,54.2,22.4,34.0,71.2,Free_Flow
EVT_00552,77.1,11,34,12.6,35,8.92,57.2,28.3,44.1,74.4,Heavy_Traffic
EVT_00553,70.5,4,19,29.1,58,13.79,52.3,37.2,70.0,45.2,Heavy_Traffic
EVT_00554,52.3,3,7,58.4,0,8.06,57.0,22.8,72.7,83.3,Free_Flow
EVT_00555,25.9,10,14,28.1,23,6.96,50.1,21.2,29.8,70.8,Pedestrian_Event
EVT_00556,53.6,9,34,31.4,50,16.92,56.1,32.0,58.6,47.9,Heavy_Traffic
EVT_00557,49.3,28,32,25.1,31,14.92,58.6,27.4,63.2,54.5,Pedestrian_Event
EVT_00558,21.1,3,21,27.6,22,11.54,60.2,33.5,66.2,70.4,Free_Flow
EVT_00559,57.1,9,26,1.5,90,7.09,55.0,23.9,41.6,64.9,Heavy_Traffic
EVT_00560,35.7,10,14,15.3,57,15.92,51.1,35.2,54.3,57.7,Incident
EVT_00561,40.3,15,22,36.1,18,8.74,53.7,25.4,57.6,63.8,Pedestrian_Event
EVT_00562,84.2,5,48,0.0,78,6.42,58.0,19.6,37.7,61.9,Heavy_Traffic
EVT_00563,50.0,5,27,8.5,80,10.3,59.0,28.0,82.4,77.0,Heavy_Traffic
EVT_00564,24.7,6,28,44.3,20,14.61,58.9,29.5,46.7,59.5,Free_Flow
EVT_00565,14.7,0,28,41.4,41,21.7,57.9,27.1,8.4,60.4,Free_Flow
EVT_00566,41.5,1,18,15.6,6,2.6,43.0,21.5,22.9,62.8,Incident
